;1STD/GEO1003;GEO1003;1 gruppe;1STD;;Nei;
;;Geografi;;;;;
;3STA/REL1003;REL1003;1 gruppe;3STA;;Nei;
;;Religion og etikk;;;;;
;1STC/ENG1007;ENG1007;1 gruppe;1STC;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;1STB/ENG1007;ENG1007;1 gruppe;1STB;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;3MKA/REL1003;REL1003;1 gruppe;3MKA;;Nei;
;;Religion og etikk;;;;;
;3PBYA/NAT1018;NAT1018;1 gruppe;3PBYA;;Nei;
;;Naturfag Vg3 påbygging til generell studiekompetanse;;;;;
;1STH/ENG1007;ENG1007;1 gruppe;1STH;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;1STA/GEO1003;GEO1003;1 gruppe;1STA;;Nei;
;;Geografi;;;;;
;1IMA/IKM1001;IKM1001;1 gruppe;1IMA;;Nei;
;;Produksjon og historiefortelling;;;;;
;1STC/GEO1003;GEO1003;1 gruppe;1STC;;Nei;
;;Geografi;;;;;
;1IMA/ENG1009;ENG1009;1 gruppe;1IMA;;Nei;
;;Engelsk vg1 yrkesfaglige utdanningsprogram;;;;;
;1STB/GEO1003;GEO1003;1 gruppe;1STB;;Nei;
;;Geografi;;;;;
;1IMB/IKM1001;IKM1001;1 gruppe;1IMB;;Nei;
;;Produksjon og historiefortelling;;;;;
;1IMB/IKM1002;IKM1002;1 gruppe;1IMB;;Nei;
;;Teknologiforståelse;;;;;
;1STD/ENG1007;ENG1007;1 gruppe;1STD;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;1STE/ENG1007;ENG1007;1 gruppe;1STE;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;3PBYA/NOR1270;NOR1270;1 gruppe;3PBYA;;Nei;
;;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;;;;;
;1STF/ENG1007;ENG1007;1 gruppe;1STF;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;1STG/NAT1007;NAT1007;1 gruppe;1STG;;Nei;
;;Naturfag vg1 studieforberedende utdanningsprogram;;;;;
;1STA/ENG1007;ENG1007;1 gruppe;1STA;;Nei;
;;Engelsk vg1 studieforberedende utdanningsprogram;;;;;
;1SRB/SSR1001;SSR1001;1 gruppe;1SRB;;Nei;
;;Forretningsdrift;;;;;
;1SRB/SSR1003;SSR1003;1 gruppe;1SRB;;Nei;
;;Kultur og samhandling;;;;;
;1SRB/SSR1002;SSR1002;1 gruppe;1SRB;;Nei;
;;Markedsføring og innovasjon;;;;;
;1SRB/NAT1016;NAT1016;1 gruppe;1SRB;;Nei;
;;Naturfag vg1 SR;;;;;
;1SRB/MAT1127;MAT1127;1 gruppe;1SRB;;Nei;
;;Matematikk 1P-Y SR;;;;;
;2MKA/GEO1003;GEO1003;1 gruppe;2MKA;;Nei;
;;Geografi;;;;;
;2SSHA/SSH2001;SSH2001;1 gruppe;2SSHA;;Nei;
;;Sikkerhet;;;;;
;1MKA/MOK2008;MOK2008;1 gruppe;1MKA;;Nei;
;;Mediesamfunnet 1;;;;;
;1MKA/MOK2012;MOK2012;1 gruppe;1MKA;;Nei;
;;Medieuttrykk 1;;;;;
;2SSHA/SSH2003;SSH2003;1 gruppe;2SSHA;;Nei;
;;Kommunikasjon og yrkesutøvelse;;;;;
;2SSHA/SSH2002;SSH2002;1 gruppe;2SSHA;;Nei;
;;Administrasjon og bærekraftig drift;;;;;
;2SSHA/YFF4209;YFF4209;1 gruppe;2SSHA;;Nei;
;;Yrkesfaglig fordypning vg2;;;;;
;1SRA/ENG1009;ENG1009;1 gruppe;1SRA;;Nei;
;;Engelsk vg1 yrkesfaglige utdanningsprogram;;;;;
;2SSHA/SAK1001;SAK1001;1 gruppe;2SSHA;;Nei;
;;Samfunnskunnskap;;;;;
;2SRLA/SRL2003;SRL2003;1 gruppe;2SRLA;;Nei;
;;Kultur og kommunikasjon;;;;;
;1IMB/YFF4106;YFF4106;1 gruppe;1IMB;;Nei;
;;Yrkesfaglig fordypning vg1;;;;;
;1IMB/ENG1009;ENG1009;1 gruppe;1IMB;;Nei;
;;Engelsk vg1 yrkesfaglige utdanningsprogram;;;;;
;2SSHA/NOR1262;NOR1262;1 gruppe;2SSHA;;Nei;
;;Norsk, vg2 yrkesfaglige utdanningsprogram;;;;;
;1SRB/KRO1017;KRO1017;1 gruppe;1SRB;;Nei;
;;Kroppsøving vg1;;;;;
;3MKA/KRO1019;KRO1019;1 gruppe;3MKA;;Nei;
;;Kroppsøving Vg3;;;;;
;3STA/KRO1019;KRO1019;1 gruppe;3STA;;Nei;
;;Kroppsøving Vg3;;;;;
;1SRB/ENG1009;ENG1009;1 gruppe;1SRB;;Nei;
;;Engelsk vg1 yrkesfaglige utdanningsprogram;;;;;
;2MKA/SAK1001;SAK1001;1 gruppe;2MKA;;Nei;
;;Samfunnskunnskap;;;;;
;2SRLAB/KRO1018;KRO1018;1 gruppe;2SRLA, 2SRLB;;Nei;
;;Kroppsøving vg2;;;;;
;2SSHA/KRO1018;KRO1018;1 gruppe;2SSHA;;Nei;
;;Kroppsøving vg2;;;;;
;1STE/IDR3016;IDR3016;1 gruppe;1STE;;Nei;
;;Breddeidrett 1;;;;;
;B1/REA3056 Matematikk R1 Gruppe 3;REA3056;1 gruppe;2MKA, 2STA, 2STB, 2STC, 2STD, 2STE, 2STF, 2STG, 2STH;B1;Nei;
;;Matematikk R1;;;;;
;B3/REA3058-1;REA3058;1 gruppe;3STA, 3STB, 3STC, 3STD, 3STE, 3STF, 3STG, 3STH;B3;Nei;
;;Matematikk R2;;;;;
;B1/REA3058 Matematikk R2 VG2;REA3058;1 gruppe;2MKA, 2STA, 2STB, 2STC, 2STD, 2STE, 2STF, 2STG, 2STH;B1;Nei;
;;Matematikk R2;;;;;
;B4/REA3058-1;REA3058;1 gruppe;3PBYA, 3STA, 3STB, 3STC, 3STD, 3STE, 3STF, 3STG, 3STH;B4;Nei;
